parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
disease,-0.09691580426685938,0.058743256952541095,0.052472326904235346,-0.20030849427750871,0.006476885743789934,-1.8469888793713232,0.0660445027773738,Bin 134,0.11321914761835507,1.180163325101807,0.9460801190684393
disease,0.16380152197769937,0.09571535986121814,0.08950572026538263,-0.012562625289260004,0.34016566924465874,1.830067636929028,0.0685454368611212,Bin 62,0.11631952921887234,1.164021451333946,0.934347364205633
disease,-0.27460749178077876,0.11963325959549902,0.15295861250303677,-0.5760006896819949,0.026785706120437375,-1.7953058496482297,0.0739292647124123,Bin 70,0.12420116471685268,1.1311836131982618,0.9058743314723988
disease,-0.32998019463278555,0.14846583525189808,0.18877226028219868,-0.701941434803966,0.04198104553839489,-1.7480332869855604,0.0818043265190768,Bin 53,0.13607056292282083,1.087223726479391,0.8662358185361707
disease,-0.0718570859314318,0.045727206653322264,0.04252887336027811,-0.15565696444389918,0.011942792581035588,-1.6896070893461803,0.0924700159826151,Bin 13,0.15230355573607193,1.0339990673072932,0.8172899573433479
disease,-0.6011797190436948,0.26841342455321404,0.36539388591727306,-1.3211603070473459,0.11880086895995641,-1.645292223580897,0.1012874478816421,Bin 110,0.16510748661933636,0.9944443715548642,0.782233233679973
disease,-0.3623569041642268,0.2509226306416823,0.2208362245931184,-0.7974977233268595,0.07278391499840599,-1.640839970126524,0.1022093964786368,Bin 90,0.16510748661933636,0.9905091761070555,0.782233233679973
disease,0.4255760665390869,0.30802663732716923,0.2611761388089581,-0.08905145526561682,0.9402035883437909,1.6294599823699134,0.1045964703104247,Bin 66,0.16735435249667951,0.980482970827922,0.7763629881719973
disease,-0.05551245564395858,0.032734094631801755,0.03428537072677114,-0.12306914536200336,0.012044234074086179,-1.6191295140528446,0.1068017884976758,Bin 3,0.16927075912839185,0.9714214745718082,0.7714180581107155
disease,-0.3112243234268722,0.14224349342002354,0.19783369527220296,-0.7010404252793924,0.07859177842564798,-1.573161351501083,0.1170680732277689,Bin 95,0.18380781590902034,0.9315615294498165,0.7356360254091633
