parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
disease,-0.8450835259434336,0.3546831596178421,0.5396838318222615,-1.908489065956842,0.21832201406997465,-1.5658863136403016,0.1187620773042607,Bin 129,0.18474100913996105,0.9253222146303243,0.7334366883914112
disease,0.11338426975992516,0.08047656406582027,0.07441322616344942,-0.03324127706309661,0.2600098165829469,1.5237112487352105,0.1289666643772832,Bin 74,0.1987743083980145,0.8895225327079027,0.7016397489226635
disease,0.1125838740548308,0.0788599045297973,0.0763693825527405,-0.037896128690060885,0.26306387679972243,1.4742017061232706,0.1418066725757355,Bin 107,0.21657318007729312,0.8483033333656259,0.6643953264070133
disease,-0.29262960491442974,0.1921548535876211,0.19914414415088366,-0.6850278456329376,0.09976863580407805,-1.4694361522009698,0.1430929939796401,Bin 149,0.21657318007729312,0.8443816293462187,0.6643953264070133
disease,-0.22220474624131364,0.17259416747683173,0.15505744839807054,-0.5277335390719198,0.08332404658929243,-1.4330478705599456,0.1532139175233642,Bin 27,0.22950463772425309,0.8147017828165565,0.6392085340147322
disease,-0.3628542172228622,0.24091268995447732,0.2542931002392596,-0.8639192401799927,0.13821080573426817,-1.426913340871064,0.1549728696693178,Bin 12,0.22950463772425309,0.8097443249536042,0.6392085340147322
disease,-0.06346764579535544,0.0476897465940594,0.04456150018147082,-0.1512726593424185,0.024337367751707622,-1.4242708512256506,0.1557352898843146,Bin 38,0.22950463772425309,0.8076129644041226,0.6392085340147322
disease,-0.2820377454425664,0.14652294931527704,0.200294277341166,-0.6767022352761713,0.11262674439103874,-1.408116842810066,0.1604585285090345,Bin 59,0.2344089807784156,0.7946371948291285,0.6300257534568774
disease,-0.30683426116898854,0.20494797338300844,0.22480263096501038,-0.749790579446302,0.13612205710832495,-1.3649051163317838,0.173628263224416,Bin 99,0.25146162260087834,0.760379578909969,0.5995282864110246
disease,0.1543347785411018,0.13867887033075202,0.1137634317509995,-0.06982732608683964,0.3784968831690433,1.3566290693384069,0.1762408257367013,Bin 75,0.2530637497757762,0.7538934810635258,0.5967700610838247
disease,0.056874012314984505,0.044663791521616106,0.042306073934716734,-0.02648685704159658,0.1402348816715656,1.3443462610770225,0.1801724543306887,Bin 46,0.25651671464030257,0.7443116054025285,0.590884330982791
disease,0.16681612496550927,0.1512801004845158,0.13196783662939612,-0.09321636128007094,0.42684861121108947,1.264066527315873,0.2074969270517848,Bin 142,0.292936838190755,0.6829883306354315,0.5332260103020994
disease,0.27959433399916467,0.24833791912529118,0.22575718409159135,-0.16524285789931306,0.7244315258976424,1.2384736951969209,0.2168140656556466,Bin 165,0.3035396919179052,0.6639125466794039,0.517784511001166
disease,-0.6237999851719708,0.396885692683371,0.5576696319919792,-1.7226451630145714,0.47504519267063006,-1.118583385908564,0.2644950496764887,Bin 32,0.3642237626556436,0.5775824518643469,0.4386317234132402
disease,-0.03498804855545673,0.031088640407337078,0.03127894275051285,-0.09662080285596376,0.026644705745050293,-1.1185815593106343,0.2644958276427888,Bin 34,0.3642237626556436,0.5775811744643549,0.4386317234132402
disease,0.10439013345799358,0.09241485302859842,0.0945706810919011,-0.08195413010165563,0.2907343970176428,1.1038318879880988,0.2708296900410323,Bin 29,0.3699137229828734,0.5673037273052483,0.4318995570187833
disease,0.0466784942264842,0.04677347526774253,0.04288623938034544,-0.03782554658091239,0.13118253503388078,1.0884259123889686,0.277556290126525,Bin 15,0.3760440059778726,0.5566489260107886,0.42476132944716083
disease,-0.3566302605083047,0.35210525603649834,0.3434330290817597,-1.033338666828334,0.32007814581172467,-1.0384273797480414,0.3001711244824475,Bin 104,0.40342999130440943,0.52263108784589,0.39423181912808347
disease,0.13907322467160982,0.14621081448885792,0.13552457542756402,-0.12796754219927917,0.4061139915424988,1.0261845442632838,0.3058920783240464,Bin 133,0.4078561044320619,0.5144317697779917,0.38949303316969175
disease,0.13563097385238626,0.12194898814101987,0.13467375407635795,-0.129733314893562,0.40099526259833446,1.0071076935709804,0.3149506374471154,Bin 89,0.41407533740163743,0.5017575083190791,0.3829206355911838
disease,-0.11998144510519287,0.09531730602869175,0.11926682660864601,-0.3549875666100935,0.11502467639970779,-1.0059917624780257,0.3154859713536285,Bin 86,0.41407533740163743,0.5010199476691783,0.3829206355911838
disease,0.1547061759861474,0.2012164933134208,0.15703191290219667,-0.15471314750045037,0.4641254994727452,0.9851893995744812,0.3255753538133398,Bin 20,0.42400511194295415,0.48734847880738674,0.3726289073807728
disease,-0.104181199736095,0.09215472117396133,0.10764273313829671,-0.3162829378499547,0.10792053837776469,-0.967842386557071,0.3341486118804293,Bin 112,0.43182282150701634,0.4760603386819068,0.3646944092628807
disease,0.04584981907346614,0.05190361366211259,0.04949741456637808,-0.05168103466454581,0.1433806728114781,0.9263073531240632,0.3552657277318857,Bin 26,0.45560795617524275,0.449446686613793,0.3414087005436944
disease,0.1349665413563924,0.15813532957747037,0.14974547811030064,-0.16009542200976998,0.43002850472255477,0.901306290243888,0.3683765731247864,Bin 125,0.46884291124972816,0.4337079965157401,0.32897264599572706
disease,-0.060390519060093066,0.06135327209415227,0.07046350330812326,-0.19923344035644408,0.07845240223625796,-0.8570467862776708,0.392318952404167,Bin 160,0.49556078198421094,0.4063607111777982,0.3049030704190211
disease,0.2524579930170407,0.3884191579637614,0.29703015422135454,-0.3328171123784668,0.8377330984125482,0.8499406185841405,0.3962497195983985,Bin 136,0.49679069322784286,0.40203103209762764,0.30382654873657244
disease,0.2078239854463885,0.305528793347725,0.24800739509954894,-0.2808555383085713,0.6965035092013483,0.837974953783007,0.4029223554428531,Bin 128,0.4991919224946895,0.39477863587266104,0.3017324506580956
