parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,fold_change,qvalue,neg_log10_pvalue,neg_log10_qvalue
adenoma,-39.70005444346198,27.804546721318665,20.38005255149009,-79.79779803212776,0.3976891452037918,-1.9479858721247163,0.0523018161430789,Bin 201,-0.2618825537879006,0.6540225355819586,1.2814832303062798,0.1844072869811257
adenoma,-0.2289951444930218,0.2278743749945974,0.1177324091664958,-0.4606336028780995,0.0026433138920558,-1.9450476390844893,0.0526560036828313,Bin 2427,-0.9999999999999996,0.6540225355819586,1.2785521046745638,0.1844072869811257
adenoma,-0.2589543240552142,0.2586736304793956,0.1336449949885994,-0.5219007873885273,0.0039921392780987,-1.937628297096381,0.053559338720439,Bin 1460,-0.9999999999999996,0.6540225355819586,1.2711647937182298,0.1844072869811257
adenoma,-2.343926031160841,1.9237193428873245,1.209831522383203,-4.724268969307971,0.0364169069862883,-1.937398710312678,0.0535874979706006,Bin 607,-0.7312227075167975,0.6540225355819586,1.2709365199283738,0.1844072869811257
adenoma,-6.156957946789052,4.668033466729688,3.178317624394965,-12.410296343456167,0.0963804498780644,-1.937175158181716,0.0536149289939803,Bin 2374,-0.618368755760375,0.6540225355819586,1.2707142648417291,0.1844072869811257
adenoma,-0.3046959885320112,0.3044664347308937,0.15730407103498,-0.6141916726023999,0.0047996955383773,-1.9369873044433503,0.0536379887446597,Bin 2255,-0.9999999999999997,0.6540225355819586,1.2705275151879276,0.1844072869811257
adenoma,-0.3883560692459347,0.3898231657783454,0.2014040431579154,-0.7846184272483532,0.0079062887564838,-1.928243659644088,0.0547205471893597,Bin 760,-1.0,0.6540225355819586,1.2618495684492834,0.1844072869811257
adenoma,-3.7135745580837938,3.7274696517640415,1.9305565671288916,-7.511943674972513,0.0847945588049254,-1.923577180443147,0.0553057624247074,Bin 1437,-0.9634396123349781,0.6540225355819586,1.2572296162744476,0.1844072869811257
adenoma,-0.2121062132020975,0.2134272696645967,0.1102682416135473,-0.4290589255183268,0.0048464991141318,-1.9235476153275175,0.0553094867784966,Bin 1141,-1.0,0.6540225355819586,1.2572003713681337,0.1844072869811257
adenoma,-0.341207199777182,0.344029392561506,0.1777444664908576,-0.6909193520715835,0.0085049525172193,-1.919650195100347,0.0558022915870169,Bin 1170,-0.9999999999999989,0.6540225355819586,1.2533479658803255,0.1844072869811257
adenoma,-0.3357698476796278,0.3308814888085505,0.1750426685001679,-0.6801662137273873,0.0086265183681315,-1.918217144177654,0.055984413712302,Bin 2134,-0.8954331056579422,0.6540225355819586,1.251932865510176,0.1844072869811257
