parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
disease,-0.2406219729374982,0.10851038957344125,0.11023247074357588,-0.4573479463095254,-0.023895999565470952,-2.1828592910453395,0.0296434524065277,Bin 15,0.09960200008593308,1.5280712179062792,1.001731940516435
batch_1,0.6342244297610439,0.31202665242173844,0.29515449681409384,0.053926762606619785,1.214522096915468,2.148787962260039,0.0322678129654395,Bin 123,0.10734638768700666,1.4912304690314462,0.9692125654242447
batch_1,0.3070683313128207,0.14733198717533627,0.14611925547167454,0.019786030037358033,0.5943506325882832,2.101491212240308,0.0362405593182325,Bin 121,0.11918274365977062,1.4408051082648843,0.9237866210711304
batch_1,0.2005059285139252,0.09417458349065384,0.09556258143971846,0.01262214671387338,0.3883897103139771,2.0981635855076366,0.0365351863004654,Bin 8,0.11918274365977062,1.4372886737558022,0.9237866210711304
batch_1,0.7249210581539562,0.35990638745363585,0.3480625335266455,0.04060190188309608,1.4092402144248164,2.0827322343743746,0.0379283958649384,Bin 68,0.12253789433287791,1.4210355248621347,0.911729586771071
disease,-0.22135962931255165,0.10757736859458066,0.10688735947826274,-0.4315088427687174,-0.011210415856385892,-2.0709617151462023,0.0390213580485128,Bin 45,0.12486834575524094,1.4086976200590826,0.9035476417391768
disease,-0.36851571162732205,0.1855143668530935,0.18045602505817512,-0.7233068853873383,-0.013724537867305807,-2.0421358140218406,0.0418119695891561,Bin 166,0.13253605454675899,1.3786993741488187,0.8776659620237449
batch_1,-0.20506553072220302,0.09907231633567033,0.10069750176993085,-0.40304498214887385,-0.007086079295532144,-2.0364510252769485,0.0423818804585066,Bin 155,0.1330870264865254,1.3728197778131677,0.8758642781085333
disease,-0.3337939652070701,0.17000665955589644,0.16788206636778855,-0.6638637168858118,-0.003724213528328417,-1.9882645742268217,0.0474828572583685,Bin 148,0.14772444480381308,1.3234631554670877,0.8305476335641934
batch_1,0.6042868853764194,0.31477037184889606,0.3054576319934431,0.0037324192455629943,1.2048413515072758,1.9783001702487848,0.048599960522941,Bin 31,0.14981272234594656,1.3133640835088145,0.8244513040595942
